iter	Passed	Remaining
0	0	32
1	0	31
2	0	28
3	1	25
4	1	25
5	1	26
6	2	26
7	2	26
8	2	26
9	2	26
10	3	25
11	3	25
12	3	24
13	3	24
14	4	23
15	4	23
16	4	23
17	4	22
18	5	22
19	5	22
20	5	22
21	6	21
22	6	21
23	6	21
24	6	20
25	7	20
26	7	20
27	7	20
28	8	20
29	8	19
30	8	19
31	8	19
32	9	18
33	9	18
34	9	18
35	10	17
36	10	17
37	10	17
38	10	17
39	11	16
40	11	16
41	11	15
42	11	15
43	12	15
44	12	15
45	12	14
46	12	14
47	13	14
48	13	13
49	13	13
50	13	13
51	14	13
52	14	12
53	14	12
54	14	12
55	15	11
56	15	11
57	15	11
58	16	11
59	16	10
60	16	10
61	16	10
62	17	10
63	17	9
64	17	9
65	18	9
66	18	9
67	18	8
68	18	8
69	19	8
70	19	7
71	19	7
72	19	7
73	20	7
74	20	6
75	20	6
76	20	6
77	21	5
78	21	5
79	21	5
80	21	5
81	22	4
82	22	4
83	22	4
84	23	4
85	23	3
86	23	3
87	23	3
88	24	2
89	24	2
90	24	2
91	24	2
92	25	1
93	25	1
94	25	1
95	26	1
96	26	0
97	26	0
98	27	0
99	27	0
