iter	Passed	Remaining
0	60	60655
1	60	30436
2	61	20375
3	61	15329
4	61	12310
5	62	10296
6	62	8852
7	62	7773
8	62	6932
9	63	6260
10	63	5708
11	64	5269
12	64	4883
13	64	4552
14	64	4261
15	65	4007
16	65	3781
17	65	3582
18	65	3404
19	66	3243
20	66	3098
21	66	2966
22	66	2845
23	67	2736
24	67	2634
25	67	2544
26	68	2456
27	68	2376
28	68	2300
29	68	2230
30	69	2164
31	69	2103
32	69	2045
33	70	1990
34	70	1938
35	70	1889
36	70	1843
37	71	1799
38	71	1757
39	71	1718
40	71	1680
41	72	1645
42	72	1611
43	72	1581
44	73	1550
45	73	1521
46	73	1492
47	73	1464
48	74	1440
49	74	1415
50	74	1391
51	75	1367
52	75	1344
53	75	1322
54	75	1302
55	76	1282
56	76	1264
57	76	1245
58	76	1227
59	77	1211
60	77	1193
61	77	1177
62	78	1162
63	78	1147
64	78	1133
65	79	1118
66	79	1105
67	79	1092
68	79	1078
69	80	1065
70	80	1053
71	80	1041
72	81	1031
73	81	1019
74	81	1007
75	81	996
76	82	985
77	82	974
78	82	964
79	83	954
80	83	945
81	83	935
82	83	924
83	83	915
84	84	906
85	84	897
86	84	889
87	85	881
88	85	873
89	85	866
90	85	858
91	86	851
92	86	843
93	86	835
94	87	828
95	87	821
96	87	815
97	87	808
98	88	801
99	88	795
100	88	789
101	89	783
102	89	777
103	89	772
104	89	766
105	90	760
106	90	754
107	90	748
108	90	743
109	91	738
110	91	732
111	91	727
112	91	721
113	92	716
114	92	711
115	92	706
116	93	702
117	93	697
118	93	692
119	93	688
120	94	683
121	94	678
122	94	674
123	94	669
124	95	665
125	95	661
126	95	656
127	95	652
128	96	648
129	96	644
130	96	640
131	96	636
132	97	632
133	97	629
134	97	625
135	97	621
136	98	617
137	98	614
138	98	610
139	98	607
140	99	603
141	99	599
142	99	596
143	99	593
144	100	590
145	100	587
146	100	583
147	100	580
148	101	577
149	101	575
150	101	572
151	102	569
152	102	567
153	102	564
154	102	561
155	103	558
156	103	555
157	103	553
158	104	550
159	104	547
160	104	544
161	104	541
162	105	539
163	105	537
164	105	534
165	105	532
166	106	529
167	106	527
168	106	524
169	107	522
170	107	520
171	107	517
172	107	515
173	108	512
174	108	510
175	108	508
176	108	506
177	109	504
178	109	502
179	109	500
180	110	498
181	110	496
182	110	494
183	110	492
184	111	490
185	111	487
186	111	485
187	112	484
188	112	482
189	112	480
190	112	478
191	113	476
192	113	474
193	113	472
194	113	470
195	114	468
196	114	467
197	114	465
198	115	463
199	115	462
200	115	460
201	116	458
202	116	456
203	116	455
204	116	453
205	117	451
206	117	449
207	117	448
208	117	446
209	118	445
210	118	443
211	118	441
212	119	440
213	119	438
214	119	436
215	119	435
216	120	433
217	120	432
218	120	431
219	121	429
220	121	427
221	121	426
222	121	424
223	122	423
224	122	421
225	122	420
226	123	419
227	123	417
228	123	416
229	123	414
230	124	413
231	124	411
232	124	410
233	124	408
234	125	407
235	125	406
236	125	404
237	125	403
238	126	401
239	126	400
240	126	399
241	126	397
242	127	396
243	127	395
244	127	394
245	128	393
246	128	392
247	128	391
248	129	389
249	129	388
250	129	387
251	130	385
252	130	384
253	130	383
254	130	382
255	131	381
256	131	380
257	131	379
258	132	378
259	132	376
260	132	375
261	132	374
262	133	373
263	133	372
264	133	371
265	134	369
266	134	368
267	134	367
268	135	366
269	135	365
270	135	364
271	135	363
272	136	362
273	136	361
274	136	360
275	137	359
276	137	358
277	137	357
278	137	356
279	138	355
280	138	354
281	138	353
282	139	352
283	139	351
284	139	350
285	139	349
286	140	347
287	140	346
288	140	345
289	140	344
290	141	343
291	141	342
292	141	341
293	141	340
294	142	339
295	142	338
296	142	337
297	143	336
298	143	336
299	143	335
300	143	334
301	144	333
302	144	332
303	144	331
304	144	330
305	145	329
306	145	328
307	145	327
308	145	326
309	146	325
310	146	324
311	146	323
312	147	322
313	147	321
314	147	320
315	147	320
316	148	319
317	148	318
318	148	317
319	148	316
320	149	315
321	149	314
322	149	313
323	149	312
324	150	311
325	150	310
326	150	309
327	150	309
328	151	308
329	151	307
330	151	306
331	151	305
332	152	304
333	152	303
334	152	303
335	152	302
336	153	301
337	153	300
338	153	299
339	153	298
340	154	297
341	154	297
342	154	296
343	154	295
344	155	294
345	155	293
346	155	292
347	155	292
348	156	291
349	156	290
350	156	289
351	157	289
352	157	288
353	157	287
354	157	286
355	158	285
356	158	285
357	158	284
358	158	283
359	159	282
360	159	282
361	159	281
362	159	280
363	160	279
364	160	279
365	160	278
366	160	277
367	161	276
368	161	276
369	161	275
370	162	274
371	162	274
372	162	273
373	162	272
374	163	272
375	163	271
376	163	270
377	163	269
378	164	269
379	164	268
380	164	267
381	165	267
382	165	266
383	165	265
384	165	265
385	166	264
386	166	263
387	166	262
388	166	262
389	167	261
390	167	261
391	167	260
392	168	259
393	168	259
